tag,name,medium,power_kw,head_m,flow_m3h,speed_rpm,pressure_bar,diameter_m,length_m,volume_m3,rated_current_a
M1101A/B,磨煤机,,1450,,,14,,4.3,6,80,
M1101C,磨煤机,,2000,,,12.2,,4.7,6,94.8,
P1101A~F,低压煤浆泵,水煤浆,45,,100,,,,,,
P1103A~C,低压煤浆泵,水煤浆,90,65,130,,,,,,
P1201A~F,高压煤浆泵,水煤浆,250,,31.5-63,1500,72,,,,,
P1301A~C,烧嘴冷却水泵,脱盐水,110,280,60,2950,,,,,
P1301D,烧嘴冷却水泵,脱盐水,160,280,120,2950,,,,,
P1302A/B/C/D/F,锁斗循环泵,黑水,18.5,35,55,1450,,,,,
P1302E,锁斗循环泵,黑水,5.5,10,55,1450,,,,,11.2
P1401A~F,黑水循环泵,黑水,355,146,520,2950,,,,,
P1402A~F,高温热水泵,灰水,710,480,370,2980,,,,,
P1406A~C,低压灰水泵,灰水,160,90,260/340,2900,,,,,